Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  00:01:00,25.4,32.120030714507145 
 05/15  00:02:00,25.4,32.11165969249487 
 05/15  00:03:00,25.4,32.10326069074916 
 05/15  00:04:00,25.4,32.094833729084854 
 05/15  00:05:00,25.3,32.086378822362306 
 05/15  00:06:00,25.3,32.07789598089096 
 05/15  00:07:00,25.3,32.0693750031843 
 05/15  00:08:00,25.3,32.06082178685119 
 05/15  00:09:00,25.2,32.052241682649225 
 05/15  00:10:00,25.2,32.04363659043482 
 05/15  00:11:00,25.2,32.03500629983107 
 05/15  00:12:00,25.2,32.02633969947205 
 05/15  00:13:00,25.1,32.0176417039203 
 05/15  00:14:00,25.1,32.00891674113443 
 05/15  00:15:00,25.1,32.000165808008674 
 05/15  00:16:00,25.1,31.991377565258333 
 05/15  00:17:00,25.1,31.98255606566492 
 05/15  00:18:00,25.0,31.973704780524052 
 05/15  00:19:00,25.0,31.964813680615578 
 05/15  00:20:00,25.0,31.955886872804772 
 05/15  00:21:00,25.0,31.94692739800199 
 05/15  00:22:00,24.9,31.93792479472783 
 05/15  00:23:00,24.9,31.928882949992534 
 05/15  00:24:00,24.9,31.919804872089774 
 05/15  00:25:00,24.9,31.91068016583768 
 05/15  00:26:00,24.8,31.90151296180113 
 05/15  00:27:00,24.8,31.892296358741223 
 05/15  00:28:00,24.8,31.88303651465908 
 05/15  00:29:00,24.8,31.873727203887 
 05/15  00:30:00,24.7,31.86437469836329 
 05/15  00:31:00,24.7,31.854972788364062 
 05/15  00:32:00,24.7,31.845527856595794 
 05/15  00:33:00,24.7,31.83603383777955 
 05/15  00:34:00,24.7,31.82648712543337 
 05/15  00:35:00,24.6,31.816898056794177 
 05/15  00:36:00,24.6,31.80726258735129 
 05/15  00:37:00,24.6,31.797577609287572 
 05/15  00:38:00,24.6,31.787853386996705 
 05/15  00:39:00,24.5,31.77808571212931 
 05/15  00:40:00,24.5,31.768271392110417 
 05/15  00:41:00,24.5,31.75841052295022 
 05/15  00:42:00,24.5,31.748515137958453 
 05/15  00:43:00,24.5,31.73858141451057 
 05/15  00:44:00,24.4,31.72860596300109 
 05/15  00:45:00,24.4,31.718588589371674 
 05/15  00:46:00,24.4,31.708530934865646 
 05/15  00:47:00,24.4,31.6984350796195 
 05/15  00:48:00,24.3,31.6883029246993 
 05/15  00:49:00,24.3,31.678136081663936 
 05/15  00:50:00,24.3,31.66793593538464 
 05/15  00:51:00,24.3,31.657703717165873 
 05/15  00:52:00,24.2,31.647440548541237 
 05/15  00:53:00,24.2,31.637147462404805 
 05/15  00:54:00,24.2,31.626825413897453 
 05/15  00:55:00,24.2,31.61647528806082 
 05/15  00:56:00,24.2,31.60609790657929 
 05/15  00:57:00,24.1,31.5956940339026 
 05/15  00:58:00,24.1,31.585264382611772 
 05/15  00:59:00,24.1,31.574809617984332 
 05/15  01:00:00,24.1,31.564330361838586 
 05/15  01:01:00,24.0,31.55382719578386 
 05/15  01:02:00,24.0,31.543300663998245 
 05/15  01:03:00,24.0,31.53275127563505 
 05/15  01:04:00,24.0,31.522179506940038 
 05/15  01:05:00,24.0,31.511585803145945 
 05/15  01:06:00,23.9,31.500960416195888 
 05/15  01:07:00,23.9,31.49030979411428 
 05/15  01:08:00,23.9,31.479639719875067 
 05/15  01:09:00,23.9,31.468952457170563 
 05/15  01:10:00,23.9,31.45824818278977 
 05/15  01:11:00,23.8,31.447526459891055 
 05/15  01:12:00,23.8,31.43677673046204 
 05/15  01:13:00,23.8,31.426004853565445 
 05/15  01:14:00,23.8,31.41521618065579 
 05/15  01:15:00,23.7,31.404412633380815 
 05/15  01:16:00,23.7,31.393594099142568 
 05/15  01:17:00,23.7,31.38274970057642 
 05/15  01:18:00,23.7,31.371884905496714 
 05/15  01:19:00,23.7,31.361004752588613 
 05/15  01:20:00,23.6,31.350110934302236 
 05/15  01:21:00,23.6,31.339192971552702 
 05/15  01:22:00,23.6,31.32825610856338 
 05/15  01:23:00,23.6,31.317305052279078 
 05/15  01:24:00,23.6,31.306331067937933 
 05/15  01:25:00,23.5,31.295339748652342 
 05/15  01:26:00,23.5,31.28433555719036 
 05/15  01:27:00,23.5,31.273309432334877 
 05/15  01:28:00,23.5,31.262266710305525 
 05/15  01:29:00,23.4,31.251211680974162 
 05/15  01:30:00,23.4,31.24013515508167 
 05/15  01:31:00,23.4,31.229042383122472 
 05/15  01:32:00,23.4,31.217937585384895 
 05/15  01:33:00,23.4,31.20681149373388 
 05/15  01:34:00,23.3,31.195669318052037 
 05/15  01:35:00,23.3,31.184515245637034 
 05/15  01:36:00,23.3,31.173339951381802 
 05/15  01:37:00,23.3,31.162148632057164 
 05/15  01:38:00,23.3,31.150935291688498 
 05/15  01:39:00,23.2,31.139706868013295 
 05/15  01:40:00,23.2,31.128467880027763 
 05/15  01:41:00,23.2,31.11720874946479 
 05/15  01:42:00,23.2,31.105934360745998 
 05/15  01:43:00,23.2,31.094638464003953 
 05/15  01:44:00,23.1,31.083327858756455 
 05/15  01:45:00,23.1,31.07199679249567 
 05/15  01:46:00,23.1,31.060651904387715 
 05/15  01:47:00,23.1,31.049287177699625 
 05/15  01:48:00,23.1,31.037909046542573 
 05/15  01:49:00,23.0,31.026511367943304 
 05/15  01:50:00,23.0,31.015100498272457 
 05/15  01:51:00,23.0,31.00367023439501 
 05/15  01:52:00,23.0,30.99222689301572 
 05/15  01:53:00,23.0,30.980764228645402 
 05/15  01:54:00,22.9,30.96928853654597 
 05/15  01:55:00,22.9,30.95779354046606 
 05/15  01:56:00,22.9,30.946285528158484 
 05/15  01:57:00,22.9,30.934758200909176 
 05/15  01:58:00,22.9,30.92321784873108 
 05/15  01:59:00,22.8,30.911658155649075 
 05/15  02:00:00,22.8,30.900075267978934 
 05/15  02:01:00,22.8,30.888479164517776 
 05/15  02:02:00,22.8,30.87686526380529 
 05/15  02:03:00,22.8,30.8652400336499 
 05/15  02:04:00,22.8,30.85359679870724 
 05/15  02:05:00,22.7,30.841931312896282 
 05/15  02:06:00,22.7,30.830253282839912 
 05/15  02:07:00,22.7,30.818557939001682 
 05/15  02:08:00,22.7,30.8068516434412 
 05/15  02:09:00,22.7,30.795127616924802 
 05/15  02:10:00,22.6,30.783381533725375 
 05/15  02:11:00,22.6,30.771623079507048 
 05/15  02:12:00,22.6,30.75984742539167 
 05/15  02:13:00,22.6,30.74805074865789 
 05/15  02:14:00,22.6,30.73624259224386 
 05/15  02:15:00,22.5,30.72441786700567 
 05/15  02:16:00,22.5,30.71257255558414 
 05/15  02:17:00,22.5,30.70071609594522 
 05/15  02:18:00,22.5,30.688843321687916 
 05/15  02:19:00,22.5,30.676950162137977 
 05/15  02:20:00,22.5,30.66503588208832 
 05/15  02:21:00,22.4,30.65311161963189 
 05/15  02:22:00,22.4,30.64117253709696 
 05/15  02:23:00,22.4,30.629214315082244 
 05/15  02:24:00,22.4,30.61723589118528 
 05/15  02:25:00,22.4,30.605248164882838 
 05/15  02:26:00,22.3,30.59324614013241 
 05/15  02:27:00,22.3,30.581225393436345 
 05/15  02:28:00,22.3,30.56918478879503 
 05/15  02:29:00,22.3,30.5571250536743 
 05/15  02:30:00,22.3,30.54505746457136 
 05/15  02:31:00,22.3,30.532976808810254 
 05/15  02:32:00,22.2,30.52087835355951 
 05/15  02:33:00,22.2,30.50876073034264 
 05/15  02:34:00,22.2,30.496624518774386 
 05/15  02:35:00,22.2,30.484470791822474 
 05/15  02:36:00,22.2,30.47231058457212 
 05/15  02:37:00,22.2,30.460138352320335 
 05/15  02:38:00,22.1,30.447949113182116 
 05/15  02:39:00,22.1,30.43574133940591 
 05/15  02:40:00,22.1,30.423515507879895 
 05/15  02:41:00,22.1,30.411272619559146 
 05/15  02:42:00,22.1,30.399013543508524 
 05/15  02:43:00,22.1,30.386738897605664 
 05/15  02:44:00,22.0,30.374459239930943 
 05/15  02:45:00,22.0,30.362168676645954 
 05/15  02:46:00,22.0,30.349862008050845 
 05/15  02:47:00,22.0,30.337537568116733 
 05/15  02:48:00,22.0,30.325195736969256 
 05/15  02:49:00,22.0,30.31283744273427 
 05/15  02:50:00,21.9,30.30046349914283 
 05/15  02:51:00,21.9,30.28807448349994 
 05/15  02:52:00,21.9,30.27567079852513 
 05/15  02:53:00,21.9,30.26325274536104 
 05/15  02:54:00,21.9,30.25082056603835 
 05/15  02:55:00,21.9,30.238374462526362 
 05/15  02:56:00,21.8,30.22591460544029 
 05/15  02:57:00,21.8,30.213441139707697 
 05/15  02:58:00,21.8,30.200954189547094 
 05/15  02:59:00,21.8,30.188453862995683 
 05/15  03:00:00,21.8,30.17594025579177 
 05/15  03:01:00,21.8,30.163413454531163 
 05/15  03:02:00,21.8,30.150873539159573 
 05/15  03:03:00,21.7,30.13832058492044 
 05/15  03:04:00,21.7,30.125754663874382 
 05/15  03:05:00,21.7,30.113175846081457 
 05/15  03:06:00,21.7,30.100584200513342 
 05/15  03:07:00,21.7,30.087979795746964 
 05/15  03:08:00,21.7,30.075362700483872 
