Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  00:01:00,25.4,31.529839374127942 
 05/15  00:02:00,25.4,31.516260701208264 
 05/15  00:03:00,25.4,31.50265618661452 
 05/15  00:04:00,25.4,31.489015792200885 
 05/15  00:05:00,25.3,31.475337019117195 
 05/15  00:06:00,25.3,31.461598657779227 
 05/15  00:07:00,25.3,31.447787299410276 
 05/15  00:08:00,25.3,31.433874543355998 
 05/15  00:09:00,25.2,31.419835369333 
 05/15  00:10:00,25.2,31.40566205672278 
 05/15  00:11:00,25.2,31.39133702031296 
 05/15  00:12:00,25.2,31.376849283948957 
 05/15  00:13:00,25.1,31.362196583850825 
 05/15  00:14:00,25.1,31.347383136166638 
 05/15  00:15:00,25.1,31.33241732155434 
 05/15  00:16:00,25.1,31.317310156304522 
 05/15  00:17:00,25.1,31.302074323479257 
 05/15  00:18:00,25.0,31.286723470084564 
 05/15  00:19:00,25.0,31.27126146665847 
 05/15  00:20:00,25.0,31.255708725563704 
 05/15  00:21:00,25.0,31.240084322203607 
 05/15  00:22:00,24.9,31.22439271647734 
 05/15  00:23:00,24.9,31.208651996801525 
 05/15  00:24:00,24.9,31.192867611980372 
 05/15  00:25:00,24.9,31.177056963240137 
 05/15  00:26:00,24.8,31.161223421876606 
 05/15  00:27:00,24.8,31.145381805679037 
 05/15  00:28:00,24.8,31.12953293413343 
 05/15  00:29:00,24.8,31.113689301207174 
 05/15  00:30:00,24.7,31.09784963648275 
 05/15  00:31:00,24.7,31.082024561016464 
 05/15  00:32:00,24.7,31.06621111798095 
 05/15  00:33:00,24.7,31.05041841784457 
 05/15  00:34:00,24.7,31.0346421657224 
 05/15  00:35:00,24.6,31.018890283326606 
 05/15  00:36:00,24.6,31.003157443290334 
 05/15  00:37:00,24.6,30.987450658514955 
 05/15  00:38:00,24.6,30.971763845063123 
 05/15  00:39:00,24.5,30.95610336542485 
 05/15  00:40:00,24.5,30.94047274542254 
 05/15  00:41:00,24.5,30.924861280975744 
 05/15  00:42:00,24.5,30.90927306575241 
 05/15  00:43:00,24.5,30.89370088407957 
 05/15  00:44:00,24.4,30.878150698020722 
 05/15  00:45:00,24.4,30.862625785250415 
 05/15  00:46:00,24.4,30.847115206157824 
 05/15  00:47:00,24.4,30.831622780546773 
 05/15  00:48:00,24.3,30.8161512109564 
 05/15  00:49:00,24.3,30.800689687498114 
 05/15  00:50:00,24.3,30.78524230475584 
 05/15  00:51:00,24.3,30.769811989065918 
 05/15  00:52:00,24.2,30.75438809637681 
 05/15  00:53:00,24.2,30.73897482616717 
 05/15  00:54:00,24.2,30.723575186798637 
 05/15  00:55:00,24.2,30.70817862143207 
 05/15  00:56:00,24.2,30.692789385098312 
 05/15  00:57:00,24.1,30.67741053708542 
 05/15  00:58:00,24.1,30.662041718945137 
 05/15  00:59:00,24.1,30.646670631869544 
 05/15  01:00:00,24.1,30.63130131337789 
 05/15  01:01:00,24.0,30.615937218396073 
 05/15  01:02:00,24.0,30.60056832498919 
 05/15  01:03:00,24.0,30.585199344009467 
 05/15  01:04:00,24.0,30.569833721733865 
 05/15  01:05:00,24.0,30.554471454338042 
 05/15  01:06:00,23.9,30.53910058955043 
 05/15  01:07:00,23.9,30.523725481095674 
 05/15  01:08:00,23.9,30.508349878885753 
 05/15  01:09:00,23.9,30.492964043639972 
 05/15  01:10:00,23.9,30.47757294844345 
 05/15  01:11:00,23.8,30.46218029248596 
 05/15  01:12:00,23.8,30.446786319705016 
 05/15  01:13:00,23.8,30.431379323406713 
 05/15  01:14:00,23.8,30.415963917500065 
 05/15  01:15:00,23.7,30.400544124669167 
 05/15  01:16:00,23.7,30.385110473509865 
 05/15  01:17:00,23.7,30.369668217901456 
 05/15  01:18:00,23.7,30.354221327193574 
 05/15  01:19:00,23.7,30.3387601538537 
 05/15  01:20:00,23.6,30.32328981531641 
 05/15  01:21:00,23.6,30.30781420389973 
 05/15  01:22:00,23.6,30.292323626765516 
 05/15  01:23:00,23.6,30.2768231758288 
 05/15  01:24:00,23.6,30.261316735925796 
 05/15  01:25:00,23.5,30.24579461683195 
 05/15  01:26:00,23.5,30.230261936294202 
 05/15  01:27:00,23.5,30.214722612219795 
 05/15  01:28:00,23.5,30.19916698280162 
 05/15  01:29:00,23.4,30.183600223541177 
 05/15  01:30:00,23.4,30.168026317716016 
 05/15  01:31:00,23.4,30.152435650190025 
 05/15  01:32:00,23.4,30.136833456932944 
 05/15  01:33:00,23.4,30.121213635403326 
 05/15  01:34:00,23.3,30.105583190038864 
 05/15  01:35:00,23.3,30.089946437469358 
 05/15  01:36:00,23.3,30.074293493446543 
 05/15  01:37:00,23.3,30.058629235821712 
 05/15  01:38:00,23.3,30.04294729210402 
 05/15  01:39:00,23.2,30.027254506103148 
 05/15  01:40:00,23.2,30.011555103194663 
 05/15  01:41:00,23.2,29.99583913423678 
 05/15  01:42:00,23.2,29.980111470279542 
 05/15  01:43:00,23.2,29.96436573328245 
 05/15  01:44:00,23.1,29.948608811779796 
 05/15  01:45:00,23.1,29.932834844551277 
 05/15  01:46:00,23.1,29.91705055169287 
 05/15  01:47:00,23.1,29.901249808141653 
 05/15  01:48:00,23.1,29.885439142000802 
 05/15  01:49:00,23.0,29.869612325481032 
 05/15  01:50:00,23.0,29.853775827976715 
 05/15  01:51:00,23.0,29.837923380634958 
 05/15  01:52:00,23.0,29.82206142885444 
 05/15  01:53:00,23.0,29.806183685368588 
 05/15  01:54:00,22.9,29.79029659172313 
 05/15  01:55:00,22.9,29.77439384742117 
 05/15  01:56:00,22.9,29.758481891151984 
 05/15  01:57:00,22.9,29.742554411984216 
 05/15  01:58:00,22.9,29.726617857647867 
 05/15  01:59:00,22.8,29.710665914822183 
 05/15  02:00:00,22.8,29.69470503945636 
 05/15  02:01:00,22.8,29.678728908023835 
 05/15  02:02:00,22.8,29.662743983490493 
 05/15  02:03:00,22.8,29.646743938542123 
 05/15  02:04:00,22.8,29.630725142462957 
 05/15  02:05:00,22.7,29.61469786846648 
 05/15  02:06:00,22.7,29.598657501772145 
 05/15  02:07:00,22.7,29.58261059918196 
 05/15  02:08:00,22.7,29.56655041156397 
 05/15  02:09:00,22.7,29.550482986951938 
 05/15  02:10:00,22.6,29.534401727656466 
 05/15  02:11:00,22.6,29.518302862255997 
 05/15  02:12:00,22.6,29.502196626883574 
 05/15  02:13:00,22.6,29.486078389533454 
 05/15  02:14:00,22.6,29.469954745941436 
 05/15  02:15:00,22.5,29.453818956053887 
 05/15  02:16:00,22.5,29.437666974135162 
 05/15  02:17:00,22.5,29.42150882966521 
 05/15  02:18:00,22.5,29.405339736456117 
 05/15  02:19:00,22.5,29.389156079008114 
 05/15  02:20:00,22.5,29.372967636220164 
 05/15  02:21:00,22.4,29.356769279647214 
 05/15  02:22:00,22.4,29.34055712598022 
 05/15  02:23:00,22.4,29.324340772675946 
 05/15  02:24:00,22.4,29.308114982955892 
 05/15  02:25:00,22.4,29.29187581748717 
 05/15  02:26:00,22.3,29.275632856818635 
 05/15  02:27:00,22.3,29.259380856544407 
 05/15  02:28:00,22.3,29.243115873000278 
 05/15  02:29:00,22.3,29.226847491139807 
 05/15  02:30:00,22.3,29.210570458015656 
 05/15  02:31:00,22.3,29.19428081901571 
 05/15  02:32:00,22.2,29.177988151870096 
 05/15  02:33:00,22.2,29.161687169947207 
 05/15  02:34:00,22.2,29.14537388345603 
 05/15  02:35:00,22.2,29.12905786176401 
 05/15  02:36:00,22.2,29.112733814218107 
 05/15  02:37:00,22.2,29.096397765638244 
 05/15  02:38:00,22.1,29.080049224360998 
 05/15  02:39:00,22.1,29.063699525962086 
 05/15  02:40:00,22.1,29.04734371058877 
 05/15  02:41:00,22.1,29.030977539708456 
 05/15  02:42:00,22.1,29.01461027474788 
 05/15  02:43:00,22.1,28.99823641996929 
 05/15  02:44:00,22.0,28.981851886229617 
 05/15  02:45:00,22.0,28.965456120256 
 05/15  02:46:00,22.0,28.949060436259376 
 05/15  02:47:00,22.0,28.932659854383804 
 05/15  02:48:00,22.0,28.916250128379346 
 05/15  02:49:00,22.0,28.89983043666966 
 05/15  02:50:00,21.9,28.883411894241487 
 05/15  02:51:00,21.9,28.86698940262323 
 05/15  02:52:00,21.9,28.85055863424473 
 05/15  02:53:00,21.9,28.83411870402089 
 05/15  02:54:00,21.9,28.817680682902196 
 05/15  02:55:00,21.9,28.801239439541458 
 05/15  02:56:00,21.8,28.784790621300285 
 05/15  02:57:00,21.8,28.7683333158788 
 05/15  02:58:00,21.8,28.751878566776835 
 05/15  02:59:00,21.8,28.735421206115852 
 05/15  03:00:00,21.8,28.718956854404144 
 05/15  03:01:00,21.8,28.702484585728158 
 05/15  03:02:00,21.8,28.686015441490465 
 05/15  03:03:00,21.7,28.669544234767393 
 05/15  03:04:00,21.7,28.653066558498786 
 05/15  03:05:00,21.7,28.636581462992478 
 05/15  03:06:00,21.7,28.620089911770048 
 05/15  03:07:00,21.7,28.603603342478788 
 05/15  03:08:00,21.7,28.58711639971956 
 05/15  03:09:00,21.6,28.570624430269802 
 05/15  03:10:00,21.6,28.55412631410346 
 05/15  03:11:00,21.6,28.53763298490885 
 05/15  03:12:00,21.6,28.521139219013683 
 05/15  03:13:00,21.6,28.50464060896337 
 05/15  03:14:00,21.6,28.488136214033002 
 05/15  03:15:00,21.6,28.471626992650013 
 05/15  03:16:00,21.5,28.455124351960528 
 05/15  03:17:00,21.5,28.438622876781285 
 05/15  03:18:00,21.5,28.42211784367603 
 05/15  03:19:00,21.5,28.405608071081616 
 05/15  03:20:00,21.5,28.38909437815163 
 05/15  03:21:00,21.5,28.372588099406187 
 05/15  03:22:00,21.5,28.356083801171753 
 05/15  03:23:00,21.4,28.33957675396517 
 05/15  03:24:00,21.4,28.323065763330302 
 05/15  03:25:00,21.4,28.306551627325494 
 05/15  03:26:00,21.4,28.290045657768868 
 05/15  03:27:00,21.4,28.273542420698284 
 05/15  03:28:00,21.4,28.257037203537912 
 05/15  03:29:00,21.4,28.240528836179863 
 05/15  03:30:00,21.4,28.224018134498262 
 05/15  03:31:00,21.3,28.20751640669788 
 05/15  03:32:00,21.3,28.191018205860836 
 05/15  03:33:00,21.3,28.174518804655694 
 05/15  03:34:00,21.3,28.158017036575274 
 05/15  03:35:00,21.3,28.141513753693406 
 05/15  03:36:00,21.3,28.125020325267517 
 05/15  03:37:00,21.3,28.10853138647165 
 05/15  03:38:00,21.3,28.092042279443525 
 05/15  03:39:00,21.2,28.0755518750409 
 05/15  03:40:00,21.2,28.059071082241925 
 05/15  03:41:00,21.2,28.042594693909543 
 05/15  03:42:00,21.2,28.026118335777902 
 05/15  03:43:00,21.2,28.00964111902466 
 05/15  03:44:00,21.2,27.993164076520838 
 05/15  03:45:00,21.2,27.976698683803697 
 05/15  03:46:00,21.2,27.96023963997256 
 05/15  03:47:00,21.1,27.943782322431574 
 05/15  03:48:00,21.1,27.927325621424387 
 05/15  03:49:00,21.1,27.91088044707542 
 05/15  03:50:00,21.1,27.89444161121554 
 05/15  03:51:00,21.1,27.878004749841395 
 05/15  03:52:00,21.1,27.861568964261743 
 05/15  03:53:00,21.1,27.845145295868296 
 05/15  03:54:00,21.1,27.828728617407158 
 05/15  03:55:00,21.0,27.812314570614486 
 05/15  03:56:00,21.0,27.795902227986574 
 05/15  03:57:00,21.0,27.77950258675212 
 05/15  03:58:00,21.0,27.763110503601133 
 05/15  03:59:00,21.0,27.74672162994149 
 05/15  04:00:00,21.0,27.73033506375417 
 05/15  04:01:00,21.0,27.713961811749478 
 05/15  04:02:00,21.0,27.697596735019314 
 05/15  04:03:00,21.0,27.681235454695173 
 05/15  04:04:00,20.9,27.664877010183552 
 05/15  04:05:00,20.9,27.64853233159404 
 05/15  04:06:00,20.9,27.6321962534572 
 05/15  04:07:00,20.9,27.615864411927333 
 05/15  04:08:00,20.9,27.599545931642492 
 05/15  04:09:00,20.9,27.58323529182141 
 05/15  04:10:00,20.9,27.566928386521855 
 05/15  04:11:00,20.9,27.550624629970155 
 05/15  04:12:00,20.9,27.534335220965357 
 05/15  04:13:00,20.9,27.51805516657087 
 05/15  04:14:00,20.8,27.50178018987517 
 05/15  04:15:00,20.8,27.485519429322263 
 05/15  04:16:00,20.8,27.4692673981224 
 05/15  04:17:00,20.8,27.453020039222167 
 05/15  04:18:00,20.8,27.436786857576873 
 05/15  04:19:00,20.8,27.420562655261598 
 05/15  04:20:00,20.8,27.404343551828177 
 05/15  04:21:00,20.8,27.388139127827593 
 05/15  04:22:00,20.8,27.371944199906572 
 05/15  04:23:00,20.8,27.355754862188967 
 05/15  04:24:00,20.8,27.339580647788214 
 05/15  04:25:00,20.7,27.323416356881093 
 05/15  04:26:00,20.7,27.307258097090003 
 05/15  04:27:00,20.7,27.291115435362542 
 05/15  04:28:00,20.7,27.274983260955054 
 05/15  04:29:00,20.7,27.258867817143848 
 05/15  04:30:00,20.7,27.24276225985121 
 05/15  04:31:00,20.7,27.226662505471655 
 05/15  04:32:00,20.7,27.210578482261983 
 05/15  04:33:00,20.7,27.19450543037057 
 05/15  04:34:00,20.7,27.178449772923866 
 05/15  04:35:00,20.7,27.162404716093743 
 05/15  04:36:00,20.7,27.146366157453645 
 05/15  04:37:00,20.6,27.130343979270396 
 05/15  04:38:00,20.6,27.11433343769947 
 05/15  04:39:00,20.6,27.098340996359255 
 05/15  04:40:00,20.6,27.082359987101448 
 05/15  04:41:00,20.6,27.06639647843 
