Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  00:01:00,25.4,31.331622026044336 
 05/15  00:02:00,25.4,31.316013546665772 
 05/15  00:03:00,25.4,31.300377753615745 
 05/15  00:04:00,25.4,31.284704002517998 
 05/15  00:05:00,25.3,31.268988794987123 
 05/15  00:06:00,25.3,31.253218827009974 
 05/15  00:07:00,25.3,31.237360683426125 
 05/15  00:08:00,25.3,31.22139301773235 
 05/15  00:09:00,25.2,31.20528400245204 
 05/15  00:10:00,25.2,31.189019095613265 
 05/15  00:11:00,25.2,31.172576741415 
 05/15  00:12:00,25.2,31.155944600729452 
 05/15  00:13:00,25.1,31.139120613807727 
 05/15  00:14:00,25.1,31.12211009920504 
 05/15  00:15:00,25.1,31.104923139591556 
 05/15  00:16:00,25.1,31.08757290997498 
 05/15  00:17:00,25.1,31.070074594939914 
 05/15  00:18:00,25.0,31.052444567619293 
 05/15  00:19:00,25.0,31.034699702920037 
 05/15  00:20:00,25.0,31.016846615478457 
 05/15  00:21:00,25.0,30.998908230393734 
 05/15  00:22:00,24.9,30.98089545243794 
 05/15  00:23:00,24.9,30.9628310617681 
 05/15  00:24:00,24.9,30.944733459632012 
 05/15  00:25:00,24.9,30.92660520344012 
 05/15  00:26:00,24.8,30.90846243327938 
 05/15  00:27:00,24.8,30.8903084846282 
 05/15  00:28:00,24.8,30.87215881773067 
 05/15  00:29:00,24.8,30.85401470352873 
 05/15  00:30:00,24.7,30.83588904123026 
 05/15  00:31:00,24.7,30.817780638224463 
 05/15  00:32:00,24.7,30.79970019565419 
 05/15  00:33:00,24.7,30.781644621512164 
 05/15  00:34:00,24.7,30.76362294281901 
 05/15  00:35:00,24.6,30.745630620126743 
 05/15  00:36:00,24.6,30.727675387631834 
 05/15  00:37:00,24.6,30.709751610543517 
 05/15  00:38:00,24.6,30.69186606008965 
 05/15  00:39:00,24.5,30.6740224399338 
 05/15  00:40:00,24.5,30.656210103789334 
 05/15  00:41:00,24.5,30.63843326834564 
 05/15  00:42:00,24.5,30.620694835116435 
 05/15  00:43:00,24.5,30.602984027034996 
 05/15  00:44:00,24.4,30.585305020919424 
 05/15  00:45:00,24.4,30.567660621353955 
 05/15  00:46:00,24.4,30.550039938932844 
 05/15  00:47:00,24.4,30.532447004271418 
 05/15  00:48:00,24.3,30.51488451866724 
 05/15  00:49:00,24.3,30.4973516899671 
 05/15  00:50:00,24.3,30.47983581344501 
 05/15  00:51:00,24.3,30.462340643702674 
 05/15  00:52:00,24.2,30.44486922746932 
 05/15  00:53:00,24.2,30.427421192103118 
 05/15  00:54:00,24.2,30.409994297165404 
 05/15  00:55:00,24.2,30.392575791291563 
 05/15  00:56:00,24.2,30.375169909793307 
 05/15  00:57:00,24.1,30.357780207012926 
 05/15  00:58:00,24.1,30.34040669836884 
 05/15  00:59:00,24.1,30.32304742842757 
 05/15  01:00:00,24.1,30.305700019241 
 05/15  01:01:00,24.0,30.288352214113978 
 05/15  01:02:00,24.0,30.271008821413197 
 05/15  01:03:00,24.0,30.253673899728337 
 05/15  01:04:00,24.0,30.236347902149767 
 05/15  01:05:00,24.0,30.21902927211607 
 05/15  01:06:00,23.9,30.201716001734113 
 05/15  01:07:00,23.9,30.18440630071651 
 05/15  01:08:00,23.9,30.16709870520678 
 05/15  01:09:00,23.9,30.14978187381315 
 05/15  01:10:00,23.9,30.132461348504982 
 05/15  01:11:00,23.8,30.11514176735203 
 05/15  01:12:00,23.8,30.09782407148118 
 05/15  01:13:00,23.8,30.08050714578398 
 05/15  01:14:00,23.8,30.06318940567138 
 05/15  01:15:00,23.7,30.04586948166 
 05/15  01:16:00,23.7,30.028546329967522 
 05/15  01:17:00,23.7,30.011209022834716 
 05/15  01:18:00,23.7,29.993863491777926 
 05/15  01:19:00,23.7,29.976514738384676 
 05/15  01:20:00,23.6,29.95916403507035 
 05/15  01:21:00,23.6,29.941810557512937 
 05/15  01:22:00,23.6,29.924452966207404 
 05/15  01:23:00,23.6,29.90709009391906 
 05/15  01:24:00,23.6,29.889710940547833 
 05/15  01:25:00,23.5,29.872321424387817 
 05/15  01:26:00,23.5,29.854926573284754 
 05/15  01:27:00,23.5,29.83752771233305 
 05/15  01:28:00,23.5,29.820124097490154 
 05/15  01:29:00,23.4,29.80271449877129 
 05/15  01:30:00,23.4,29.785287759435725 
 05/15  01:31:00,23.4,29.76784971893767 
 05/15  01:32:00,23.4,29.750405412756844 
 05/15  01:33:00,23.4,29.73295621706688 
 05/15  01:34:00,23.3,29.71550144114819 
 05/15  01:35:00,23.3,29.698029774605494 
 05/15  01:36:00,23.3,29.68054675287024 
 05/15  01:37:00,23.3,29.66305717263529 
 05/15  01:38:00,23.3,29.645562259703016 
 05/15  01:39:00,23.2,29.628061235964637 
 05/15  01:40:00,23.2,29.61054273664614 
 05/15  01:41:00,23.2,29.59301228947473 
 05/15  01:42:00,23.2,29.575474710128884 
 05/15  01:43:00,23.2,29.557931263559816 
 05/15  01:44:00,23.1,29.540371120359694 
 05/15  01:45:00,23.1,29.522799667470853 
 05/15  01:46:00,23.1,29.50522147758195 
 05/15  01:47:00,23.1,29.48763765668059 
 05/15  01:48:00,23.1,29.470037303752463 
 05/15  01:49:00,23.0,29.452425792859557 
 05/15  01:50:00,23.0,29.434807706301132 
 05/15  01:51:00,23.0,29.417184164038428 
 05/15  01:52:00,23.0,29.399544267781415 
 05/15  01:53:00,23.0,29.38189341636761 
 05/15  01:54:00,22.9,29.364236220524965 
 05/15  01:55:00,22.9,29.34657382551077 
 05/15  01:56:00,22.9,29.328895336200468 
 05/15  01:57:00,22.9,29.311206175418672 
 05/15  01:58:00,22.9,29.293510975970932 
 05/15  01:59:00,22.8,29.275800788497058 
 05/15  02:00:00,22.8,29.258081433711254 
 05/15  02:01:00,22.8,29.240357302561666 
 05/15  02:02:00,22.8,29.222619128163238 
 05/15  02:03:00,22.8,29.20487249316438 
 05/15  02:04:00,22.8,29.18712164618813 
 05/15  02:05:00,22.7,29.16935723252675 
 05/15  02:06:00,22.7,29.151584769283215 
 05/15  02:07:00,22.7,29.133808456860848 
 05/15  02:08:00,22.7,29.116018915037724 
 05/15  02:09:00,22.7,29.098221678541517 
 05/15  02:10:00,22.6,29.08042099293941 
 05/15  02:11:00,22.6,29.062607523330733 
 05/15  02:12:00,22.6,29.044786856104835 
 05/15  02:13:00,22.6,29.026963277723414 
 05/15  02:14:00,22.6,29.009127473518856 
 05/15  02:15:00,22.5,28.991285053123214 
 05/15  02:16:00,22.5,28.97344030814459 
 05/15  02:17:00,22.5,28.955583897094428 
 05/15  02:18:00,22.5,28.93772140519038 
 05/15  02:19:00,22.5,28.919847009191525 
 05/15  02:20:00,22.5,28.90196801632641 
 05/15  02:21:00,22.4,28.884088920709452 
 05/15  02:22:00,22.4,28.86620001881682 
 05/15  02:23:00,22.4,28.84830645531083 
 05/15  02:24:00,22.4,28.830412171618303 
 05/15  02:25:00,22.4,28.81250759528612 
 05/15  02:26:00,22.3,28.79459817401425 
 05/15  02:27:00,22.3,28.77667798809545 
 05/15  02:28:00,22.3,28.75875429903268 
 05/15  02:29:00,22.3,28.740831587296686 
 05/15  02:30:00,22.3,28.722900147209376 
 05/15  02:31:00,22.3,28.704965157023096 
 05/15  02:32:00,22.2,28.687020489198506 
 05/15  02:33:00,22.2,28.669073261031663 
 05/15  02:34:00,22.2,28.651127846417676 
 05/15  02:35:00,22.2,28.633174453646884 
 05/15  02:36:00,22.2,28.615218203821385 
 05/15  02:37:00,22.2,28.59725293629088 
 05/15  02:38:00,22.1,28.57928576768773 
 05/15  02:39:00,22.1,28.561311013134425 
 05/15  02:40:00,22.1,28.543335573885262 
 05/15  02:41:00,22.1,28.525363538676373 
 05/15  02:42:00,22.1,28.507384947521857 
 05/15  02:43:00,22.1,28.48940483854708 
 05/15  02:44:00,22.0,28.471417022021896 
 05/15  02:45:00,22.0,28.45342860419421 
 05/15  02:46:00,22.0,28.435433903367763 
 05/15  02:47:00,22.0,28.41743983686788 
 05/15  02:48:00,22.0,28.399450516434857 
 05/15  02:49:00,22.0,28.381455999494218 
 05/15  02:50:00,21.9,28.363461336420254 
 05/15  02:51:00,21.9,28.345460337412256 
 05/15  02:52:00,21.9,28.327460109990067 
 05/15  02:53:00,21.9,28.309454971884207 
 05/15  02:54:00,21.9,28.29145184375876 
 05/15  02:55:00,21.9,28.273454833438247 
 05/15  02:56:00,21.8,28.25545397966033 
 05/15  02:57:00,21.8,28.23745430786846 
 05/15  02:58:00,21.8,28.21944959960097 
 05/15  02:59:00,21.8,28.201446938821462 
 05/15  03:00:00,21.8,28.183440621295155 
 05/15  03:01:00,21.8,28.165437541469057 
 05/15  03:02:00,21.8,28.147431710515495 
 05/15  03:03:00,21.7,28.129429786065764 
 05/15  03:04:00,21.7,28.111435691720747 
 05/15  03:05:00,21.7,28.093439356232235 
 05/15  03:06:00,21.7,28.075445725941563 
 05/15  03:07:00,21.7,28.057448559744554 
 05/15  03:08:00,21.7,28.03945493597017 
 05/15  03:09:00,21.6,28.02145917430142 
 05/15  03:10:00,21.6,28.00346818693133 
 05/15  03:11:00,21.6,27.9854860775625 
 05/15  03:12:00,21.6,27.967502906581856 
 05/15  03:13:00,21.6,27.94952371575866 
 05/15  03:14:00,21.6,27.931542326535677 
 05/15  03:15:00,21.6,27.913565833660744 
 05/15  03:16:00,21.5,27.895588543951085 
 05/15  03:17:00,21.5,27.877617322470126 
 05/15  03:18:00,21.5,27.85965621673268 
 05/15  03:19:00,21.5,27.841695245264265 
 05/15  03:20:00,21.5,27.82373940306637 
 05/15  03:21:00,21.5,27.805782492506363 
 05/15  03:22:00,21.5,27.787831588367638 
 05/15  03:23:00,21.4,27.769891056005633 
 05/15  03:24:00,21.4,27.75195113327253 
 05/15  03:25:00,21.4,27.73401693669108 
 05/15  03:26:00,21.4,27.716082339897284 
 05/15  03:27:00,21.4,27.69815447320419 
 05/15  03:28:00,21.4,27.680237763290048 
 05/15  03:29:00,21.4,27.662322518503128 
 05/15  03:30:00,21.4,27.644413898539774 
 05/15  03:31:00,21.3,27.626505804064916 
 05/15  03:32:00,21.3,27.608605352634843 
 05/15  03:33:00,21.3,27.590716954450908 
 05/15  03:34:00,21.3,27.57283093892777 
 05/15  03:35:00,21.3,27.55495250336264 
 05/15  03:36:00,21.3,27.53707563717861 
 05/15  03:37:00,21.3,27.519207539818233 
 05/15  03:38:00,21.3,27.501352693050265 
 05/15  03:39:00,21.2,27.483501485652504 
 05/15  03:40:00,21.2,27.465659108966722 
 05/15  03:41:00,21.2,27.44782957475344 
 05/15  03:42:00,21.2,27.430003467548122 
 05/15  03:43:00,21.2,27.412186319763336 
 05/15  03:44:00,21.2,27.394382412988804 
 05/15  03:45:00,21.2,27.376582494673702 
 05/15  03:46:00,21.2,27.358792171344614 
 05/15  03:47:00,21.1,27.341015737814338 
 05/15  03:48:00,21.1,27.323243931374662 
 05/15  03:49:00,21.1,27.30548233819295 
 05/15  03:50:00,21.1,27.287735255436743 
 05/15  03:51:00,21.1,27.269993461289616 
 05/15  03:52:00,21.1,27.252262574338477 
 05/15  03:53:00,21.1,27.23454690789562 
 05/15  03:54:00,21.1,27.216837238335316 
 05/15  03:55:00,21.0,27.19913912598198 
 05/15  03:56:00,21.0,27.181456811658713 
 05/15  03:57:00,21.0,27.16378103102654 
