Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  00:01:00,25.4,30.633554165039293 
 05/15  00:02:00,25.4,30.6146898774945 
 05/15  00:03:00,25.4,30.595772554728526 
 05/15  00:04:00,25.4,30.57674522704605 
 05/15  00:05:00,25.3,30.557521199181696 
 05/15  00:06:00,25.3,30.53800317014342 
 05/15  00:07:00,25.3,30.518108163516324 
 05/15  00:08:00,25.3,30.497784917358707 
 05/15  00:09:00,25.2,30.477008997446415 
 05/15  00:10:00,25.2,30.455805206472586 
 05/15  00:11:00,25.2,30.43421084752964 
 05/15  00:12:00,25.2,30.412280449702976 
 05/15  00:13:00,25.1,30.390078014413294 
 05/15  00:14:00,25.1,30.36766886886947 
 05/15  00:15:00,25.1,30.345104313705 
 05/15  00:16:00,25.1,30.322445696707515 
 05/15  00:17:00,25.1,30.299745623102194 
 05/15  00:18:00,25.0,30.277035386830924 
 05/15  00:19:00,25.0,30.254353872511118 
 05/15  00:20:00,25.0,30.231721648465953 
 05/15  00:21:00,25.0,30.209166708929953 
 05/15  00:22:00,24.9,30.186709222544362 
 05/15  00:23:00,24.9,30.16435115697887 
 05/15  00:24:00,24.9,30.14210587028607 
 05/15  00:25:00,24.9,30.119982341456613 
 05/15  00:26:00,24.8,30.097983865130143 
 05/15  00:27:00,24.8,30.07611021538707 
 05/15  00:28:00,24.8,30.054359369750237 
 05/15  00:29:00,24.8,30.032728319738798 
 05/15  00:30:00,24.7,30.011213362390905 
 05/15  00:31:00,24.7,29.98981023634977 
 05/15  00:32:00,24.7,29.968514263584304 
 05/15  00:33:00,24.7,29.94732048885606 
 05/15  00:34:00,24.7,29.92622377748891 
 05/15  00:35:00,24.6,29.90522904812782 
 05/15  00:36:00,24.6,29.88432469170529 
 05/15  00:37:00,24.6,29.863500535509594 
 05/15  00:38:00,24.6,29.842760306883353 
 05/15  00:39:00,24.5,29.822093259455592 
 05/15  00:40:00,24.5,29.80149055481777 
 05/15  00:41:00,24.5,29.780957039786507 
 05/15  00:42:00,24.5,29.76048294332283 
 05/15  00:43:00,24.5,29.740070309837407 
 05/15  00:44:00,24.4,29.71970819303724 
 05/15  00:45:00,24.4,29.69939873697239 
 05/15  00:46:00,24.4,29.67913165323387 
 05/15  00:47:00,24.4,29.658909840570526 
 05/15  00:48:00,24.3,29.638733861402596 
 05/15  00:49:00,24.3,29.618590773849633 
 05/15  00:50:00,24.3,29.59848277618104 
 05/15  00:51:00,24.3,29.57841095115991 
 05/15  00:52:00,24.2,29.5583631789796 
 05/15  00:53:00,24.2,29.53834233217507 
 05/15  00:54:00,24.2,29.51834997837225 
 05/15  00:55:00,24.2,29.498374404046302 
 05/15  00:56:00,24.2,29.478418803863573 
 05/15  00:57:00,24.1,29.458485027474826 
 05/15  00:58:00,24.1,29.438571793759223 
 05/15  00:59:00,24.1,29.41866628156815 
 05/15  01:00:00,24.1,29.398772015425465 
 05/15  01:01:00,24.0,29.37889175387391 
 05/15  01:02:00,24.0,29.359025191026483 
 05/15  01:03:00,24.0,29.339160353962225 
 05/15  01:04:00,24.0,29.319301402146323 
 05/15  01:05:00,24.0,29.299451546283795 
 05/15  01:06:00,23.9,29.279610786192173 
 05/15  01:07:00,23.9,29.259777512691315 
 05/15  01:08:00,23.9,29.239939727027373 
 05/15  01:09:00,23.9,29.220102115976662 
 05/15  01:10:00,23.9,29.200268534474418 
 05/15  01:11:00,23.8,29.180439613574386 
 05/15  01:12:00,23.8,29.160604212616295 
 05/15  01:13:00,23.8,29.14076726687139 
 05/15  01:14:00,23.8,29.12093281915631 
 05/15  01:15:00,23.7,29.101101767358603 
 05/15  01:16:00,23.7,29.081273391575028 
 05/15  01:17:00,23.7,29.061436492434137 
 05/15  01:18:00,23.7,29.041596365298 
 05/15  01:19:00,23.7,29.02175729262247 
 05/15  01:20:00,23.6,29.00192017607278 
 05/15  01:21:00,23.6,28.98208415917658 
 05/15  01:22:00,23.6,28.96223789502563 
 05/15  01:23:00,23.6,28.942386624358974 
 05/15  01:24:00,23.6,28.922534690491265 
 05/15  01:25:00,23.5,28.90268315888957 
 05/15  01:26:00,23.5,28.882821279372465 
 05/15  01:27:00,23.5,28.862954327378798 
 05/15  01:28:00,23.5,28.843086649588415 
 05/15  01:29:00,23.4,28.823219417292858 
 05/15  01:30:00,23.4,28.803352156934373 
 05/15  01:31:00,23.4,28.78347388784029 
 05/15  01:32:00,23.4,28.76359010825736 
 05/15  01:33:00,23.4,28.743705285365724 
 05/15  01:34:00,23.3,28.723820488606396 
 05/15  01:35:00,23.3,28.703924879175027 
 05/15  01:36:00,23.3,28.684023599568263 
 05/15  01:37:00,23.3,28.664120841472606 
 05/15  01:38:00,23.3,28.644217619921122 
 05/15  01:39:00,23.2,28.624303188830183 
 05/15  01:40:00,23.2,28.60438280956674 
 05/15  01:41:00,23.2,28.584460795993557 
 05/15  01:42:00,23.2,28.564538319142404 
 05/15  01:43:00,23.2,28.544604823973213 
 05/15  01:44:00,23.1,28.524665752053437 
 05/15  01:45:00,23.1,28.50472553221651 
 05/15  01:46:00,23.1,28.484785397736538 
 05/15  01:47:00,23.1,28.46483485561868 
 05/15  01:48:00,23.1,28.4448794408584 
 05/15  01:49:00,23.0,28.42492366096438 
 05/15  01:50:00,23.0,28.404968766872116 
 05/15  01:51:00,23.0,28.385004234511655 
 05/15  01:52:00,23.0,28.365035590818604 
 05/15  01:53:00,23.0,28.34506737092128 
 05/15  01:54:00,22.9,28.325090739872845 
 05/15  01:55:00,22.9,28.305111466568075 
 05/15  01:56:00,22.9,28.285133832940115 
 05/15  01:57:00,22.9,28.265158890210717 
 05/15  01:58:00,22.9,28.245175995464596 
 05/15  01:59:00,22.8,28.225190525060064 
 05/15  02:00:00,22.8,28.205206843950283 
 05/15  02:01:00,22.8,28.185216006520196 
 05/15  02:02:00,22.8,28.165223746233153 
 05/15  02:03:00,22.8,28.145234319738332 
 05/15  02:04:00,22.8,28.125248688739774 
 05/15  02:05:00,22.7,28.105256080234955 
 05/15  02:06:00,22.7,28.085261800706082 
 05/15  02:07:00,22.7,28.065270295114416 
 05/15  02:08:00,22.7,28.045272836328298 
