Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  00:01:00,25.4,31.726181952053917 
 05/15  00:02:00,25.4,31.71224821132693 
 05/15  00:03:00,25.4,31.698280868383154 
 05/15  00:04:00,25.4,31.68428964771337 
 05/15  00:05:00,25.3,31.670269277133947 
 05/15  00:06:00,25.3,31.656215222665388 
 05/15  00:07:00,25.3,31.64213568683267 
 05/15  00:08:00,25.3,31.628022949679227 
 05/15  00:09:00,25.2,31.613869115020833 
 05/15  00:10:00,25.2,31.599668288487113 
 05/15  00:11:00,25.2,31.585425267853307 
 05/15  00:12:00,25.2,31.571127802252636 
 05/15  00:13:00,25.1,31.556763904518892 
 05/15  00:14:00,25.1,31.542325056091464 
 05/15  00:15:00,25.1,31.527805159206544 
 05/15  00:16:00,25.1,31.513199429395513 
 05/15  00:17:00,25.1,31.498504015883046 
 05/15  00:18:00,25.0,31.483716045440985 
 05/15  00:19:00,25.0,31.468833747829084 
 05/15  00:20:00,25.0,31.453856511904597 
 05/15  00:21:00,25.0,31.4387848524778 
 05/15  00:22:00,24.9,31.423620314388632 
 05/15  00:23:00,24.9,31.40836534296491 
 05/15  00:24:00,24.9,31.393012981919018 
 05/15  00:25:00,24.9,31.377573452651863 
 05/15  00:26:00,24.8,31.362056550079025 
 05/15  00:27:00,24.8,31.34645856036898 
 05/15  00:28:00,24.8,31.330790449628577 
 05/15  00:29:00,24.8,31.315061842570906 
 05/15  00:30:00,24.7,31.299268604240794 
 05/15  00:31:00,24.7,31.283421331489905 
 05/15  00:32:00,24.7,31.267519014996715 
 05/15  00:33:00,24.7,31.25157362681533 
 05/15  00:34:00,24.7,31.235583994772153 
 05/15  00:35:00,24.6,31.219561311619458 
 05/15  00:36:00,24.6,31.203503506823143 
 05/15  00:37:00,24.6,31.187410826099043 
 05/15  00:38:00,24.6,31.17129712290221 
 05/15  00:39:00,24.5,31.155160975591077 
 05/15  00:40:00,24.5,31.139011904229125 
 05/15  00:41:00,24.5,31.122845744407634 
 05/15  00:42:00,24.5,31.106660748248714 
 05/15  00:43:00,24.5,31.09046902964026 
 05/15  00:44:00,24.4,31.0742675830777 
 05/15  00:45:00,24.4,31.05805436353904 
 05/15  00:46:00,24.4,31.041840582280695 
 05/15  00:47:00,24.4,31.025622291148494 
 05/15  00:48:00,24.3,31.009396633525874 
 05/15  00:49:00,24.3,30.993174142651277 
 05/15  00:50:00,24.3,30.976950291340682 
 05/15  00:51:00,24.3,30.96072171417079 
 05/15  00:52:00,24.2,30.9444984916984 
 05/15  00:53:00,24.2,30.92827569224124 
 05/15  00:54:00,24.2,30.91204958964504 
 05/15  00:55:00,24.2,30.895829942429916 
 05/15  00:56:00,24.2,30.879611532468747 
 05/15  00:57:00,24.1,30.863390377067716 
 05/15  00:58:00,24.1,30.84717600223341 
 05/15  00:59:00,24.1,30.83096298342517 
 05/15  01:00:00,24.1,30.81474715155777 
 05/15  01:01:00,24.0,30.798537861138964 
 05/15  01:02:00,24.0,30.782329538627952 
 05/15  01:03:00,24.0,30.766117883124128 
 05/15  01:04:00,24.0,30.74991213024874 
 05/15  01:05:00,24.0,30.733706609864203 
 05/15  01:06:00,23.9,30.717496939744326 
 05/15  01:07:00,23.9,30.701292283730012 
 05/15  01:08:00,23.9,30.685086917162838 
 05/15  01:09:00,23.9,30.66887641291151 
 05/15  01:10:00,23.9,30.652669894627156 
 05/15  01:11:00,23.8,30.63646160931772 
 05/15  01:12:00,23.8,30.620247108769025 
 05/15  01:13:00,23.8,30.604035500733357 
 05/15  01:14:00,23.8,30.587821026091 
 05/15  01:15:00,23.7,30.57159923735896 
 05/15  01:16:00,23.7,30.55537924930891 
 05/15  01:17:00,23.7,30.5391553166442 
 05/15  01:18:00,23.7,30.522923011804508 
 05/15  01:19:00,23.7,30.506691476271865 
 05/15  01:20:00,23.6,30.490454992907722 
 05/15  01:21:00,23.6,30.47420916453962 
 05/15  01:22:00,23.6,30.457963167230215 
 05/15  01:23:00,23.6,30.44171131214289 
 05/15  01:24:00,23.6,30.42544922849836 
 05/15  01:25:00,23.5,30.409186122739783 
 05/15  01:26:00,23.5,30.39291632729042 
 05/15  01:27:00,23.5,30.37663549249836 
 05/15  01:28:00,23.5,30.360352854465145 
 05/15  01:29:00,23.4,30.344062765776957 
 05/15  01:30:00,23.4,30.32776089886444 
 05/15  01:31:00,23.4,30.31145652432904 
 05/15  01:32:00,23.4,30.29514401878118 
 05/15  01:33:00,23.4,30.27881908125503 
 05/15  01:34:00,23.3,30.262480894011553 
 05/15  01:35:00,23.3,30.246140497585753 
 05/15  01:36:00,23.3,30.229792616323458 
 05/15  01:37:00,23.3,30.21343270554205 
 05/15  01:38:00,23.3,30.197069741505306 
 05/15  01:39:00,23.2,30.18069790439332 
 05/15  01:40:00,23.2,30.164312784452555 
 05/15  01:41:00,23.2,30.147913504990132 
 05/15  01:42:00,23.2,30.131511085089482 
 05/15  01:43:00,23.2,30.115100221180523 
 05/15  01:44:00,23.1,30.098676353027557 
 05/15  01:45:00,23.1,30.082238342893863 
 05/15  01:46:00,23.1,30.065797026763136 
 05/15  01:47:00,23.1,30.04934700298057 
 05/15  01:48:00,23.1,30.032883665365762 
 05/15  01:49:00,23.0,30.016405856482795 
 05/15  01:50:00,23.0,29.999924417343312 
 05/15  01:51:00,23.0,29.983433943690976 
 05/15  01:52:00,23.0,29.966929835396943 
 05/15  01:53:00,23.0,29.950410951054312 
 05/15  01:54:00,22.9,29.933878046214442 
 05/15  01:55:00,22.9,29.917342380602122 
 05/15  01:56:00,22.9,29.900798365835044 
 05/15  01:57:00,22.9,29.88424112922873 
 05/15  01:58:00,22.9,29.867669338028406 
 05/15  01:59:00,22.8,29.85108364219812 
 05/15  02:00:00,22.8,29.834495258353893 
 05/15  02:01:00,22.8,29.817898563742283 
 05/15  02:02:00,22.8,29.801288665750143 
 05/15  02:03:00,22.8,29.78466422427013 
 05/15  02:04:00,22.8,29.76802589084323 
